title,url,disc_price,original_price
Authentic Geekvape Aegis Max 100W TC Box Mod - Black Space,https://www.cigabuy.com/authentic-geekvape-aegis-max-100w-tc-box-mod-black-space-p-18881.html,$51.08 ,$32.56
Authentic Dovpo Odin Mini 75W DNA75C TC Mod - Brushed Silver,https://www.cigabuy.com/authentic-dovpo-odin-mini-75w-dna75c-tc-mod-brushed-silver-p-19383.html,$155.03 ,$117.31
Biker Gloves Motorcross Full Finger Motorcycle Bicycle Cycling Waterproof Glove,https://www.cigabuy.com/biker-gloves-motorcross-full-finger-motorcycle-bicycle-cycling-waterproof-glove-p-19607.html,$19.54 ,$4.38
Authentic Geekvape Aegis Max 100W TC Starter Kit - Red Phoenix,https://www.cigabuy.com/authentic-geekvape-aegis-max-100w-tc-starter-kit-red-phoenix-p-18875.html,$72.97 ,$46.37
Authentic Geekvape Aegis Boost Plus 40W Pod  Kit - Aura Glow,https://www.cigabuy.com/authentic-geekvape-aegis-boost-plus-40w-pod-kit-aura-glow-p-19114.html,$44.43 ,$28.93
Authentic Geekvape Frenzy 950mAh Pod System Kit - Silver Carbon Fiber,https://www.cigabuy.com/authentic-geekvape-frenzy-950mah-pod-system-kit-silver-carbon-fiber-p-14446.html,$37.39 ,$7.14
Authentic Uwell Caliburn G POD kit - Blue,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-blue-p-19936.html,$31.00 ,$19.12
Authentic Uwell Caliburn G POD kit - Rosy Brown,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-rosy-brown-p-19940.html,$31.00 ,$19.12
Authentic Steam Crave Aromamizer Plus V2 RDTA Advanced Kit - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-aromamizer-plus-v2-rdta-advanced-kit-gunmetal-p-18330.html,$73.06 ,$44.87
Authentic Geekvape Aegis Solo 100W TC Box Mod - Gunmetal,https://www.cigabuy.com/authentic-geekvape-aegis-solo-100w-tc-box-mod-gunmetal-p-14358.html,$44.99 ,$30.46
Authentic Geekvape Wenax Stylus Pod Starter Kit - Army Green,https://www.cigabuy.com/authentic-geekvape-wenax-stylus-pod-starter-kit-army-green-p-19294.html,$22.73 ,$14.46
Authentic Geekvape Wenax Stylus Pod Starter Kit - Space Gray,https://www.cigabuy.com/authentic-geekvape-wenax-stylus-pod-starter-kit-space-gray-p-19299.html,$22.73 ,$14.46
Authentic OXVA Origin X 60W 18650 Pod Kit - Marble Grey,https://www.cigabuy.com/authentic-oxva-origin-x-60w-18650-pod-kit-marble-grey-p-19695.html,$47.55 ,$32.04
Authentic Vandy Vape Mato RDTA 5ML 24MM - Gunmetal,https://www.cigabuy.com/authentic-vandy-vape-mato-rdta-5ml-24mm-gunmetal-p-17144.html,$40.71 ,$27.41
LS Mini WiFi FPV with 0.3MP/5.0/4KMP HD Camera Altitude Hold Mode Foldable Drone,https://www.cigabuy.com/ls-mini-wifi-fpv-with-03mp504kmp-hd-camera-altitude-hold-mode-foldable-drone-p-18910.html,$46.49 ,$25.74
Authentic Wotofo nexMESH PRO TANK - Gunmetal,https://www.cigabuy.com/authentic-wotofo-nexmesh-pro-tank-gunmetal-p-19854.html,$36.18 ,$20.16
Authentic Dovpo Odin 100 Box Mod - Matte Black,https://www.cigabuy.com/authentic-dovpo-odin-100-box-mod-matte-black-p-19698.html,$77.51 ,$56.85
Authentic Vaporesso Luxe II 220W TC Mod - Black,https://www.cigabuy.com/authentic-vaporesso-luxe-ii-220w-tc-mod-black-p-19908.html,$73.28 ,$47.55
Universal USB Quick Charge 3.0 Wall Adapter Android Mobile Phone Fast Charger,https://www.cigabuy.com/universal-usb-quick-charge-30-wall-adapter-android-mobile-phone-fast-charger-p-19475.html,$5.32 ,$2.06
Authentic THC Tauren Max Hybrid Smart Mech Mod - Brass White,https://www.cigabuy.com/authentic-thc-tauren-max-hybrid-smart-mech-mod-brass-white-p-18859.html,$148.05 ,$43.25
Authentic Geekvape Zeus X Mesh RTA 4.5ml - Black,https://www.cigabuy.com/authentic-geekvape-zeus-x-mesh-rta-45ml-black-p-18440.html,$38.61 ,$27.13
Authentic Dovpo Topside Dual 200W Squonker Box Mod - Black,https://www.cigabuy.com/authentic-dovpo-topside-dual-200w-squonker-box-mod-black-p-14040.html,$90.05 ,$69.10
3 x Authentic Wotofo H13 SINGLE CONICAL NET MESH COIL 0.15ohm,https://www.cigabuy.com/3-x-authentic-wotofo-h13-single-conical-net-mesh-coil-015ohm-p-19867.html,$15.50 ,$6.72
3 x Authentic Wotofo H11 SINGLE CONICAL NEXMESH COIL 0.20ohm,https://www.cigabuy.com/3-x-authentic-wotofo-h11-single-conical-nexmesh-coil-020ohm-p-19870.html,$15.50 ,$6.72
Mini Electrical Screwdriver power tools 3.6V Rechargeable Cordless Power Drill,https://www.cigabuy.com/mini-electrical-screwdriver-power-tools-36v-rechargeable-cordless-power-drill-p-19576.html,$20.41 ,$7.83
Authentic Geekvape Aegis Boost Plus 40W Pod  Kit - Space Black,https://www.cigabuy.com/authentic-geekvape-aegis-boost-plus-40w-pod-kit-space-black-p-19108.html,$44.43 ,$28.93
4 × Authentic Uwell Valyrian Pod Coil DTL 0.6ohm,https://www.cigabuy.com/4-×-authentic-uwell-valyrian-pod-coil-dtl-06ohm-p-19511.html,$14.42 ,$10.34
Authentic Steam Crave Titan PWM V1.5 Mod - Black,https://www.cigabuy.com/authentic-steam-crave-titan-pwm-v15-mod-black-p-19519.html,$66.14 ,$51.68
Authentic Wotofo nexMESH PRO TANK - Black,https://www.cigabuy.com/authentic-wotofo-nexmesh-pro-tank-black-p-19853.html,$36.18 ,$20.16
Authentic Geekvape Aegis Max 100W TC Box Mod - White Storm,https://www.cigabuy.com/authentic-geekvape-aegis-max-100w-tc-box-mod-white-storm-p-18884.html,$51.08 ,$32.56
B9 TWS 5.0 Bluetooth Earbud 8D Stereo Smart Touch Control Wireless Earphones,https://www.cigabuy.com/b9-tws-50-bluetooth-earbud-8d-stereo-smart-touch-control-wireless-earphones-p-19474.html,$20.41 ,$8.56
Authentic Uwell Caliburn G POD kit - Red,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-red-p-19937.html,$31.00 ,$19.12
Authentic Dovpo Odin DNA250C 200W Box Mod - Brushed Gunmetal,https://www.cigabuy.com/authentic-dovpo-odin-dna250c-200w-box-mod-brushed-gunmetal-p-18896.html,$187.66 ,$140.72
Authentic VapX Geyser 100W Pod Kit Without Battery - Volcano Red,https://www.cigabuy.com/authentic-vapx-geyser-100w-pod-kit-without-battery-volcano-red-p-19692.html,$58.22 ,$48.09
Authentic Geekvape Zeus Sub-ohm Tank Atomizer 5ml - Gunmetal,https://www.cigabuy.com/authentic-geekvape-zeus-sub-ohm-tank-atomizer-5ml-gunmetal-p-15777.html,$31.28 ,$19.71
